day_of_week,period,carpark,hour,red,white
Friday,School,CP3,7,1,11
Friday,School,CP3,8,4,38
Friday,School,CP3,9,5,54
Friday,School,CP3,10,5,59
Friday,School,CP3,11,5,66
Friday,School,CP3,12,6,65
Friday,School,CP3,13,6,69
Friday,School,CP3,14,5,71
Friday,School,CP3,15,5,70
Friday,School,CP3,16,5,65
Friday,School,CP3,17,4,56
Friday,School,CP3,18,2,34
Friday,School,CP3,19,1,20
Friday,School,CP3,20,0,12
Friday,School,CP3,21,0,8
Friday,School,CP3,22,0,6
Friday,School,CP3,23,0,1
Saturday,School,CP3,0,0,1
Saturday,School,CP3,1,0,1
Saturday,School,CP3,6,0,1
Saturday,School,CP3,7,0,1
Saturday,School,CP3,8,1,2
Saturday,School,CP3,9,3,4
Saturday,School,CP3,10,3,11
Saturday,School,CP3,11,2,11
Saturday,School,CP3,12,2,9
Saturday,School,CP3,13,1,11
Saturday,School,CP3,14,1,12
Saturday,School,CP3,15,0,11
Saturday,School,CP3,16,1,7
Saturday,School,CP3,17,2,9
Saturday,School,CP3,18,3,42
Saturday,School,CP3,19,4,55
Saturday,School,CP3,20,4,54
Saturday,School,CP3,21,0,36
Saturday,School,CP3,22,0,6
Saturday,School,CP3,23,0,1
Sunday,School,CP3,0,0,1
Sunday,School,CP3,1,0,1
Sunday,School,CP3,2,0,1
Sunday,School,CP3,3,0,1
Sunday,School,CP3,4,0,1
Sunday,School,CP3,5,0,1
Sunday,School,CP3,6,0,1
Sunday,School,CP3,7,0,1
Sunday,School,CP3,8,0,1
Sunday,School,CP3,9,0,2
Sunday,School,CP3,10,0,4
Sunday,School,CP3,11,1,4
Sunday,School,CP3,12,1,6
Sunday,School,CP3,13,1,9
Sunday,School,CP3,14,2,13
Sunday,School,CP3,15,2,17
Sunday,School,CP3,16,2,15
Sunday,School,CP3,17,3,13
Sunday,School,CP3,18,2,44
Sunday,School,CP3,19,4,76
Sunday,School,CP3,20,4,76
Sunday,School,CP3,21,2,52
Sunday,School,CP3,22,1,25
Sunday,School,CP3,23,1,1
Monday,School,CP3,0,1,1
Monday,School,CP3,1,1,0
Monday,School,CP3,2,1,0
Monday,School,CP3,3,1,0
Monday,School,CP3,4,1,0
Monday,School,CP3,5,1,0
Monday,School,CP3,6,1,2
Monday,School,CP3,7,1,17
Monday,School,CP3,8,3,40
Monday,School,CP3,9,6,58
Monday,School,CP3,10,7,64
Monday,School,CP3,11,7,67
Monday,School,CP3,12,8,70
Monday,School,CP3,13,8,76
Monday,School,CP3,14,7,78
Monday,School,CP3,15,5,77
Monday,School,CP3,16,6,73
Monday,School,CP3,17,5,58
Monday,School,CP3,18,4,36
Monday,School,CP3,19,1,18
Monday,School,CP3,20,1,9
Monday,School,CP3,21,1,6
Monday,School,CP3,22,1,1
Monday,School,CP3,23,1,0
Tuesday,School,CP3,0,1,0
Tuesday,School,CP3,1,1,0
Tuesday,School,CP3,2,1,0
Tuesday,School,CP3,3,1,0
Tuesday,School,CP3,4,1,0
Tuesday,School,CP3,5,1,0
Tuesday,School,CP3,6,1,0
Tuesday,School,CP3,7,2,8
Tuesday,School,CP3,8,3,26
Tuesday,School,CP3,9,5,47
Tuesday,School,CP3,10,5,57
Tuesday,School,CP3,11,4,60
Tuesday,School,CP3,12,8,60
Tuesday,School,CP3,13,6,63
Tuesday,School,CP3,14,6,65
Tuesday,School,CP3,15,6,63
Tuesday,School,CP3,16,6,60
Tuesday,School,CP3,17,4,46
Tuesday,School,CP3,18,4,32
Tuesday,School,CP3,19,2,29
Tuesday,School,CP3,20,2,27
Tuesday,School,CP3,21,1,14
Tuesday,School,CP3,22,1,10
Tuesday,School,CP3,23,1,3
Wednesday,School,CP3,0,1,1
Wednesday,School,CP3,1,1,0
Wednesday,School,CP3,2,1,0
Wednesday,School,CP3,3,1,0
Wednesday,School,CP3,4,1,0
Wednesday,School,CP3,5,1,0
Wednesday,School,CP3,6,1,1
Wednesday,School,CP3,7,1,12
Wednesday,School,CP3,8,3,29
Wednesday,School,CP3,9,5,47
Wednesday,School,CP3,10,7,50
Wednesday,School,CP3,11,7,55
Wednesday,School,CP3,12,7,57
Wednesday,School,CP3,13,7,54
Wednesday,School,CP3,14,8,54
Wednesday,School,CP3,15,7,55
Wednesday,School,CP3,16,5,53
Wednesday,School,CP3,17,5,49
Wednesday,School,CP3,18,3,23
Wednesday,School,CP3,19,2,14
Wednesday,School,CP3,20,1,19
Wednesday,School,CP3,21,0,19
Wednesday,School,CP3,22,1,11
Wednesday,School,CP3,23,1,1
Thursday,School,CP3,0,1,1
Thursday,School,CP3,1,1,0
Thursday,School,CP3,2,1,0
Thursday,School,CP3,3,1,0
Thursday,School,CP3,4,1,0
Thursday,School,CP3,5,1,0
Thursday,School,CP3,6,1,0
Thursday,School,CP3,7,1,10
Thursday,School,CP3,8,2,31
Thursday,School,CP3,9,4,50
Thursday,School,CP3,10,7,55
Thursday,School,CP3,11,7,57
Thursday,School,CP3,12,7,59
Thursday,School,CP3,13,6,61
Thursday,School,CP3,14,4,62
Thursday,School,CP3,15,4,61
Thursday,School,CP3,16,4,58
Thursday,School,CP3,17,4,47
Thursday,School,CP3,18,4,30
Thursday,School,CP3,19,0,25
Thursday,School,CP3,20,0,24
Thursday,School,CP3,21,0,18
Thursday,School,CP3,22,0,12
Thursday,School,CP3,23,1,0
Friday,School,CP3,0,1,0
Friday,School,CP3,1,1,0
Friday,School,CP3,2,1,0
Friday,School,CP3,3,1,0
Friday,School,CP3,4,1,0
Friday,School,CP3,5,1,0
Friday,School,CP3,6,1,1
Friday,School,CP3,7,1,6
Friday,School,CP3,8,3,34
Friday,School,CP3,9,5,54
Friday,School,CP3,10,6,65
Friday,School,CP3,11,7,67
Friday,School,CP3,12,6,65
Friday,School,CP3,13,6,65
Friday,School,CP3,14,2,57
Friday,School,CP3,15,4,60
Friday,School,CP3,16,3,59
Friday,School,CP3,17,1,50
Friday,School,CP3,18,0,30
Friday,School,CP3,19,2,46
Friday,School,CP3,20,2,44
Friday,School,CP3,21,1,30
Friday,School,CP3,22,1,6
Friday,School,CP3,23,1,0
Saturday,School,CP3,0,1,0
Saturday,School,CP3,1,1,0
Saturday,School,CP3,2,1,0
Saturday,School,CP3,3,1,0
Saturday,School,CP3,4,1,0
Saturday,School,CP3,5,1,0
Saturday,School,CP3,6,1,1
Saturday,School,CP3,7,1,1
Saturday,School,CP3,8,2,1
Saturday,School,CP3,9,3,6
Saturday,School,CP3,10,2,15
Saturday,School,CP3,11,2,27
Saturday,School,CP3,12,3,26
Saturday,School,CP3,13,2,10
Saturday,School,CP3,14,2,9
Saturday,School,CP3,15,1,9
Saturday,School,CP3,16,1,8
Saturday,School,CP3,17,1,8
Saturday,School,CP3,18,1,6
Saturday,School,CP3,19,0,3
Saturday,School,CP3,20,0,3
Saturday,School,CP3,21,0,2
Saturday,School,CP3,22,0,3
Saturday,School,CP3,23,0,2
Sunday,School,CP3,0,0,2
Sunday,School,CP3,1,0,1
Sunday,School,CP3,2,0,1
Sunday,School,CP3,3,0,1
Sunday,School,CP3,4,0,1
Sunday,School,CP3,5,0,1
Sunday,School,CP3,6,0,1
Sunday,School,CP3,7,0,1
Sunday,School,CP3,8,0,1
Sunday,School,CP3,9,0,3
Sunday,School,CP3,10,0,7
Sunday,School,CP3,11,0,7
Sunday,School,CP3,12,0,6
Sunday,School,CP3,13,0,7
Sunday,School,CP3,14,0,8
Sunday,School,CP3,15,1,15
Sunday,School,CP3,16,1,16
Sunday,School,CP3,17,2,10
Sunday,School,CP3,18,1,9
Sunday,School,CP3,19,1,10
Sunday,School,CP3,20,1,10
Sunday,School,CP3,21,1,10
Sunday,School,CP3,22,1,4
Sunday,School,CP3,23,1,0
Monday,School,CP3,0,1,0
Monday,School,CP3,1,1,0
Monday,School,CP3,2,1,0
Monday,School,CP3,3,1,0
Monday,School,CP3,4,1,0
Monday,School,CP3,5,1,0
Monday,School,CP3,6,1,1
Monday,School,CP3,7,1,12
Monday,School,CP3,8,2,39
Monday,School,CP3,9,4,50
Monday,School,CP3,10,4,57
Monday,School,CP3,11,4,59
Monday,School,CP3,12,4,63
Monday,School,CP3,13,4,66
Monday,School,CP3,14,4,72
Monday,School,CP3,15,6,72
Monday,School,CP3,16,6,68
Monday,School,CP3,17,5,58
Monday,School,CP3,18,4,35
Monday,School,CP3,19,4,28
Monday,School,CP3,20,4,27
Monday,School,CP3,21,3,21
Monday,School,CP3,22,2,6
Monday,School,CP3,23,1,0
Tuesday,School,CP3,0,1,0
Tuesday,School,CP3,1,1,0
Tuesday,School,CP3,2,1,0
Tuesday,School,CP3,3,1,0
Tuesday,School,CP3,4,1,0
Tuesday,School,CP3,5,1,0
Tuesday,School,CP3,6,1,2
Tuesday,School,CP3,7,1,20
Tuesday,School,CP3,8,3,39
Tuesday,School,CP3,9,4,49
Tuesday,School,CP3,10,5,57
Tuesday,School,CP3,11,5,63
Tuesday,School,CP3,12,4,69
Tuesday,School,CP3,13,7,73
Tuesday,School,CP3,14,8,74
Tuesday,School,CP3,15,5,75
Tuesday,School,CP3,16,6,69
Tuesday,School,CP3,17,6,54
Tuesday,School,CP3,18,5,35
Tuesday,School,CP3,19,1,20
Tuesday,School,CP3,20,1,18
Tuesday,School,CP3,21,1,12
Tuesday,School,CP3,22,1,7
Tuesday,School,CP3,23,1,0
Wednesday,School,CP3,0,1,0
Wednesday,School,CP3,1,1,0
Wednesday,School,CP3,2,1,0
Wednesday,School,CP3,3,1,0
Wednesday,School,CP3,4,1,0
Wednesday,School,CP3,5,1,0
Wednesday,School,CP3,6,1,1
Wednesday,School,CP3,7,1,15
Wednesday,School,CP3,8,1,36
Wednesday,School,CP3,9,3,48
Wednesday,School,CP3,10,4,56
Wednesday,School,CP3,11,5,58
Wednesday,School,CP3,12,5,60
Wednesday,School,CP3,13,6,61
Wednesday,School,CP3,14,8,60
Wednesday,School,CP3,15,8,58
Wednesday,School,CP3,16,6,56
Wednesday,School,CP3,17,6,52
Wednesday,School,CP3,18,6,28
Wednesday,School,CP3,19,4,20
Wednesday,School,CP3,20,4,16
Wednesday,School,CP3,21,3,8
Wednesday,School,CP3,22,3,5
Wednesday,School,CP3,23,1,1
Thursday,School,CP3,0,1,0
Thursday,School,CP3,1,1,0
Thursday,School,CP3,2,1,0
Thursday,School,CP3,7,1,5
Thursday,School,CP3,8,2,9
Thursday,School,CP3,9,3,16
Thursday,School,CP3,10,3,20
Thursday,School,CP3,11,3,21
Thursday,School,CP3,12,2,26
Thursday,School,CP3,13,4,24
Thursday,School,CP3,14,4,22
Thursday,School,CP3,15,4,21
Thursday,School,CP3,16,4,21
Thursday,School,CP3,17,3,17
Thursday,School,CP3,18,0,9
Thursday,School,CP3,19,0,7
Thursday,School,CP3,20,0,4
Thursday,School,CP3,21,0,4
Thursday,School,CP3,22,0,3
Thursday,School,CP3,23,1,2
Friday,School,CP3,0,1,1
Friday,School,CP3,1,1,1
Friday,School,CP3,2,1,1
Friday,School,CP3,3,1,1
Friday,School,CP3,4,1,1
Friday,School,CP3,5,1,1
Friday,School,CP3,6,1,2
Friday,School,CP3,7,1,1
Friday,School,CP3,8,1,3
Friday,School,CP3,9,2,5
Friday,School,CP3,10,3,11
Friday,School,CP3,11,4,12
Friday,School,CP3,12,4,9
Friday,School,CP3,13,2,16
Friday,School,CP3,14,2,17
Friday,School,CP3,15,2,17
Friday,School,CP3,16,2,17
Friday,School,CP3,17,2,15
Friday,School,CP3,18,1,3
Friday,School,CP3,19,0,4
Friday,School,CP3,20,0,3
Friday,School,CP3,21,0,1
Friday,School,CP3,22,0,1
Friday,School,CP3,23,0,1
Saturday,Holiday,CP3,0,0,1
Saturday,Holiday,CP3,1,0,1
Saturday,Holiday,CP3,2,1,1
Saturday,Holiday,CP3,3,1,1
Saturday,Holiday,CP3,4,1,1
Saturday,Holiday,CP3,5,1,1
Saturday,Holiday,CP3,6,2,1
Saturday,Holiday,CP3,7,2,2
Saturday,Holiday,CP3,8,4,5
Saturday,Holiday,CP3,9,7,14
Saturday,Holiday,CP3,10,8,16
Saturday,Holiday,CP3,11,8,16
Saturday,Holiday,CP3,12,7,10
Saturday,Holiday,CP3,13,6,12
Saturday,Holiday,CP3,14,3,17
Saturday,Holiday,CP3,15,3,18
Saturday,Holiday,CP3,16,3,18
Saturday,Holiday,CP3,17,3,15
Saturday,Holiday,CP3,18,2,31
Saturday,Holiday,CP3,19,7,74
Saturday,Holiday,CP3,20,7,73
Saturday,Holiday,CP3,21,7,64
Saturday,Holiday,CP3,22,1,14
Saturday,Holiday,CP3,23,1,2
Sunday,Holiday,CP3,0,0,1
Sunday,Holiday,CP3,1,0,1
Sunday,Holiday,CP3,2,0,1
Sunday,Holiday,CP3,3,0,1
Sunday,Holiday,CP3,4,0,1
Sunday,Holiday,CP3,5,0,1
Sunday,Holiday,CP3,6,0,2
Sunday,Holiday,CP3,7,0,2
Sunday,Holiday,CP3,8,0,2
Sunday,Holiday,CP3,9,1,6
Sunday,Holiday,CP3,10,1,8
Sunday,Holiday,CP3,11,0,9
Sunday,Holiday,CP3,12,0,5
Sunday,Holiday,CP3,13,0,5
Sunday,Holiday,CP3,14,0,5
Sunday,Holiday,CP3,15,0,7
Sunday,Holiday,CP3,16,0,3
Sunday,Holiday,CP3,17,1,2
Sunday,Holiday,CP3,18,1,14
Sunday,Holiday,CP3,19,1,15
Sunday,Holiday,CP3,20,1,15
Sunday,Holiday,CP3,21,2,4
Sunday,Holiday,CP3,22,1,0
Sunday,Holiday,CP3,23,1,0
Monday,Holiday,CP3,0,1,0
Monday,Holiday,CP3,1,1,0
Monday,Holiday,CP3,2,1,0
Monday,Holiday,CP3,3,1,0
Monday,Holiday,CP3,4,1,0
Monday,Holiday,CP3,5,1,0
Monday,Holiday,CP3,6,1,0
Monday,Holiday,CP3,7,1,11
Monday,Holiday,CP3,8,5,33
Monday,Holiday,CP3,9,6,46
Monday,Holiday,CP3,10,7,54
Monday,Holiday,CP3,11,6,56
Monday,Holiday,CP3,12,7,60
Monday,Holiday,CP3,13,7,58
Monday,Holiday,CP3,14,5,63
Monday,Holiday,CP3,15,3,58
Monday,Holiday,CP3,16,3,56
Monday,Holiday,CP3,17,2,48
Monday,Holiday,CP3,18,1,27
Monday,Holiday,CP3,19,1,11
Monday,Holiday,CP3,20,0,11
Monday,Holiday,CP3,21,0,5
Monday,Holiday,CP3,22,0,2
Monday,Holiday,CP3,23,0,1
Tuesday,Holiday,CP3,0,1,1
Tuesday,Holiday,CP3,1,1,1
Tuesday,Holiday,CP3,2,1,1
Tuesday,Holiday,CP3,3,1,1
Tuesday,Holiday,CP3,4,1,1
Tuesday,Holiday,CP3,5,1,1
Tuesday,Holiday,CP3,6,1,1
Tuesday,Holiday,CP3,7,1,13
Tuesday,Holiday,CP3,8,3,35
Tuesday,Holiday,CP3,9,4,51
Tuesday,Holiday,CP3,10,4,59
Tuesday,Holiday,CP3,11,4,60
Tuesday,Holiday,CP3,12,4,57
Tuesday,Holiday,CP3,13,4,53
Tuesday,Holiday,CP3,14,4,53
Tuesday,Holiday,CP3,15,2,53
Tuesday,Holiday,CP3,16,1,51
Tuesday,Holiday,CP3,17,1,49
Tuesday,Holiday,CP3,18,0,23
Tuesday,Holiday,CP3,19,0,16
Tuesday,Holiday,CP3,20,0,16
Tuesday,Holiday,CP3,21,0,9
Tuesday,Holiday,CP3,22,0,6
Tuesday,Holiday,CP3,23,0,4
Wednesday,Holiday,CP3,0,0,2
Wednesday,Holiday,CP3,7,0,8
Wednesday,Holiday,CP3,8,1,31
Wednesday,Holiday,CP3,9,4,49
Wednesday,Holiday,CP3,10,5,61
Wednesday,Holiday,CP3,11,5,64
Wednesday,Holiday,CP3,12,5,64
Wednesday,Holiday,CP3,13,6,61
Wednesday,Holiday,CP3,14,4,63
Wednesday,Holiday,CP3,15,3,62
Wednesday,Holiday,CP3,16,3,56
Wednesday,Holiday,CP3,17,3,48
Wednesday,Holiday,CP3,18,2,31
Wednesday,Holiday,CP3,19,0,21
Wednesday,Holiday,CP3,20,0,11
Wednesday,Holiday,CP3,21,0,8
Wednesday,Holiday,CP3,22,0,1
Wednesday,Holiday,CP3,23,0,1
Thursday,Holiday,CP3,0,1,1
Thursday,Holiday,CP3,1,1,1
Thursday,Holiday,CP3,2,1,1
Thursday,Holiday,CP3,3,1,0
Thursday,Holiday,CP3,4,1,0
Thursday,Holiday,CP3,5,1,1
Thursday,Holiday,CP3,6,1,2
Thursday,Holiday,CP3,7,1,11
Thursday,Holiday,CP3,8,4,29
Thursday,Holiday,CP3,9,6,47
Thursday,Holiday,CP3,10,6,54
Thursday,Holiday,CP3,11,6,56
Thursday,Holiday,CP3,12,6,62
Thursday,Holiday,CP3,13,6,62
Thursday,Holiday,CP3,14,5,58
Thursday,Holiday,CP3,15,5,58
Thursday,Holiday,CP3,16,5,57
Thursday,Holiday,CP3,17,3,46
Thursday,Holiday,CP3,18,1,29
Thursday,Holiday,CP3,19,1,13
Thursday,Holiday,CP3,20,1,9
Thursday,Holiday,CP3,21,1,7
Thursday,Holiday,CP3,22,1,4
Thursday,Holiday,CP3,23,1,3
Friday,Holiday,CP3,0,1,1
Friday,Holiday,CP3,1,1,1
Friday,Holiday,CP3,2,1,1
Friday,Holiday,CP3,3,1,1
Friday,Holiday,CP3,4,1,1
Friday,Holiday,CP3,5,1,1
Friday,Holiday,CP3,6,1,2
Friday,Holiday,CP3,7,1,10
Friday,Holiday,CP3,8,2,25
Friday,Holiday,CP3,9,5,38
Friday,Holiday,CP3,10,4,46
Friday,Holiday,CP3,11,3,47
Friday,Holiday,CP3,12,3,46
Friday,Holiday,CP3,13,3,50
Friday,Holiday,CP3,14,2,51
Friday,Holiday,CP3,15,3,47
Friday,Holiday,CP3,16,3,45
Friday,Holiday,CP3,17,3,43
Friday,Holiday,CP3,18,1,27
Friday,Holiday,CP3,19,0,12
Friday,Holiday,CP3,20,0,7
Friday,Holiday,CP3,21,0,4
Friday,Holiday,CP3,22,0,2
Friday,Holiday,CP3,23,0,1
Saturday,Exam,CP3,0,0,1
Saturday,Exam,CP3,6,0,1
Saturday,Exam,CP3,7,0,2
Saturday,Exam,CP3,8,0,13
Saturday,Exam,CP3,9,2,58
Saturday,Exam,CP3,10,1,80
Saturday,Exam,CP3,11,1,80
Saturday,Exam,CP3,12,2,22
Saturday,Exam,CP3,13,2,13
Saturday,Exam,CP3,14,2,15
Saturday,Exam,CP3,15,1,16
Saturday,Exam,CP3,16,2,11
Saturday,Exam,CP3,17,2,7
Saturday,Exam,CP3,18,1,5
Saturday,Exam,CP3,19,0,9
Saturday,Exam,CP3,20,0,5
Saturday,Exam,CP3,21,0,4
Saturday,Exam,CP3,22,0,2
Saturday,Exam,CP3,23,0,2
Sunday,Exam,CP3,0,0,2
Sunday,Exam,CP3,1,0,1
Sunday,Exam,CP3,2,0,1
Sunday,Exam,CP3,3,0,1
Sunday,Exam,CP3,4,0,1
Sunday,Exam,CP3,5,0,1
Sunday,Exam,CP3,6,0,1
Sunday,Exam,CP3,7,0,1
Sunday,Exam,CP3,8,0,2
Sunday,Exam,CP3,9,0,4
Sunday,Exam,CP3,10,0,5
Sunday,Exam,CP3,11,0,6
Sunday,Exam,CP3,12,0,6
Sunday,Exam,CP3,13,1,7
Sunday,Exam,CP3,14,1,9
Sunday,Exam,CP3,15,1,10
Sunday,Exam,CP3,16,1,10
Sunday,Exam,CP3,17,1,10
Sunday,Exam,CP3,18,1,7
Sunday,Exam,CP3,19,1,5
Sunday,Exam,CP3,20,1,5
Sunday,Exam,CP3,21,1,3
Monday,Exam,CP3,7,0,14
Monday,Exam,CP3,8,1,37
Monday,Exam,CP3,9,4,51
Monday,Exam,CP3,10,5,58
Monday,Exam,CP3,11,5,62
Monday,Exam,CP3,12,5,63
Monday,Exam,CP3,13,4,61
Monday,Exam,CP3,14,4,63
Monday,Exam,CP3,15,4,59
Monday,Exam,CP3,16,3,56
Monday,Exam,CP3,17,3,46
Monday,Exam,CP3,18,2,29
Monday,Exam,CP3,19,3,15
Monday,Exam,CP3,20,3,5
Monday,Exam,CP3,21,3,5
Monday,Exam,CP3,22,1,2
Monday,Exam,CP3,23,0,1
Tuesday,Exam,CP3,0,1,0
Tuesday,Exam,CP3,1,1,0
Tuesday,Exam,CP3,2,1,0
Tuesday,Exam,CP3,3,1,0
Tuesday,Exam,CP3,4,1,0
Tuesday,Exam,CP3,5,1,0
Tuesday,Exam,CP3,6,1,1
Tuesday,Exam,CP3,7,1,10
Tuesday,Exam,CP3,8,1,31
Tuesday,Exam,CP3,9,7,46
Tuesday,Exam,CP3,10,7,58
Tuesday,Exam,CP3,11,7,59
Tuesday,Exam,CP3,12,5,60
Tuesday,Exam,CP3,13,6,65
Tuesday,Exam,CP3,14,6,71
Tuesday,Exam,CP3,15,4,69
Tuesday,Exam,CP3,16,4,67
Tuesday,Exam,CP3,17,4,63
Tuesday,Exam,CP3,18,1,41
Tuesday,Exam,CP3,19,1,21
Tuesday,Exam,CP3,20,1,12
Tuesday,Exam,CP3,21,0,6
Tuesday,Exam,CP3,22,0,2
Tuesday,Exam,CP3,23,0,2
Wednesday,Exam,CP3,0,1,1
Wednesday,Exam,CP3,1,1,1
Wednesday,Exam,CP3,2,1,2
Wednesday,Exam,CP3,3,1,2
Wednesday,Exam,CP3,4,1,2
Wednesday,Exam,CP3,5,1,2
Wednesday,Exam,CP3,6,1,6
Wednesday,Exam,CP3,7,1,15
Wednesday,Exam,CP3,8,2,46
Wednesday,Exam,CP3,9,4,62
Wednesday,Exam,CP3,10,5,70
Wednesday,Exam,CP3,11,5,69
Wednesday,Exam,CP3,12,4,70
Wednesday,Exam,CP3,13,4,70
Wednesday,Exam,CP3,14,5,71
Wednesday,Exam,CP3,15,6,70
Wednesday,Exam,CP3,16,4,63
Wednesday,Exam,CP3,17,3,55
Wednesday,Exam,CP3,18,2,47
Wednesday,Exam,CP3,19,1,32
Wednesday,Exam,CP3,20,1,28
Wednesday,Exam,CP3,21,1,23
Wednesday,Exam,CP3,22,0,13
Wednesday,Exam,CP3,23,0,1
Thursday,Exam,CP3,6,0,1
Thursday,Exam,CP3,7,0,17
Thursday,Exam,CP3,8,3,35
Thursday,Exam,CP3,9,4,47
Thursday,Exam,CP3,10,4,56
Thursday,Exam,CP3,11,4,57
Thursday,Exam,CP3,12,5,61
Thursday,Exam,CP3,13,5,64
Thursday,Exam,CP3,14,3,73
Thursday,Exam,CP3,15,3,76
Thursday,Exam,CP3,16,1,69
Thursday,Exam,CP3,17,1,52
Thursday,Exam,CP3,18,0,31
Thursday,Exam,CP3,19,0,27
Thursday,Exam,CP3,20,0,28
Thursday,Exam,CP3,21,0,24
Thursday,Exam,CP3,22,0,5
Thursday,Exam,CP3,23,0,2
Friday,Exam,CP3,0,0,1
Friday,Exam,CP3,1,0,1
Friday,Exam,CP3,2,0,1
Friday,Exam,CP3,3,0,1
Friday,Exam,CP3,4,0,1
Friday,Exam,CP3,5,0,1
Friday,Exam,CP3,6,0,2
Friday,Exam,CP3,7,0,11
Friday,Exam,CP3,8,0,31
Friday,Exam,CP3,9,2,39
Friday,Exam,CP3,10,3,47
Friday,Exam,CP3,11,4,48
Friday,Exam,CP3,12,4,45
Friday,Exam,CP3,13,5,46
Friday,Exam,CP3,14,4,51
Friday,Exam,CP3,15,2,53
Friday,Exam,CP3,16,2,54
Friday,Exam,CP3,17,2,43
Friday,Exam,CP3,18,0,27
Friday,Exam,CP3,19,1,8
Friday,Exam,CP3,20,1,5
Friday,Exam,CP3,21,1,4
Friday,Exam,CP3,22,1,2
Friday,Exam,CP3,23,0,2
Saturday,Exam,CP3,0,0,1
Saturday,Exam,CP3,1,0,1
Saturday,Exam,CP3,2,0,1
Saturday,Exam,CP3,3,0,1
Saturday,Exam,CP3,4,0,1
Saturday,Exam,CP3,5,0,1
Saturday,Exam,CP3,6,0,2
Saturday,Exam,CP3,7,0,4
Saturday,Exam,CP3,8,1,7
Saturday,Exam,CP3,9,1,7
Saturday,Exam,CP3,10,1,9
Saturday,Exam,CP3,11,1,8
Saturday,Exam,CP3,12,0,11
Saturday,Exam,CP3,13,0,16
Saturday,Exam,CP3,14,0,21
Saturday,Exam,CP3,15,0,20
Saturday,Exam,CP3,16,0,17
Saturday,Exam,CP3,17,0,8
Saturday,Exam,CP3,18,1,6
Saturday,Exam,CP3,19,1,6
Saturday,Exam,CP3,20,1,4
Saturday,Exam,CP3,21,1,5
Saturday,Exam,CP3,22,1,4
Saturday,Exam,CP3,23,0,2
Sunday,Exam,CP3,0,0,2
Sunday,Exam,CP3,1,0,2
Sunday,Exam,CP3,2,0,2
Sunday,Exam,CP3,3,0,2
Sunday,Exam,CP3,4,0,2
Sunday,Exam,CP3,5,0,2
Sunday,Exam,CP3,6,0,2
Sunday,Exam,CP3,7,0,3
Sunday,Exam,CP3,8,0,4
Sunday,Exam,CP3,9,1,12
Sunday,Exam,CP3,10,1,12
Sunday,Exam,CP3,11,1,13
Sunday,Exam,CP3,12,0,14
Sunday,Exam,CP3,13,0,18
Sunday,Exam,CP3,14,0,19
Sunday,Exam,CP3,15,0,19
Sunday,Exam,CP3,16,0,18
Sunday,Exam,CP3,17,0,11
Sunday,Exam,CP3,18,0,3
Sunday,Exam,CP3,19,0,1
Sunday,Exam,CP3,20,0,1
Sunday,Exam,CP3,21,0,1
Sunday,Exam,CP3,22,0,1
Sunday,Exam,CP3,23,0,1
Monday,Exam,CP3,0,0,1
Monday,Exam,CP3,1,0,1
Monday,Exam,CP3,2,0,1
Monday,Exam,CP3,3,0,1
Monday,Exam,CP3,4,0,1
Monday,Exam,CP3,5,0,1
Monday,Exam,CP3,6,0,1
Monday,Exam,CP3,7,1,1
Monday,Exam,CP3,8,1,2
Monday,Exam,CP3,9,2,1
Monday,Exam,CP3,10,2,2
Monday,Exam,CP3,11,1,4
Monday,Exam,CP3,12,2,4
Monday,Exam,CP3,13,3,7
Monday,Exam,CP3,14,3,7
Monday,Exam,CP3,15,2,11
Monday,Exam,CP3,16,2,8
Monday,Exam,CP3,17,2,7
Monday,Exam,CP3,18,2,7
Monday,Exam,CP3,19,0,12
Monday,Exam,CP3,20,0,10
Monday,Exam,CP3,21,0,9
Monday,Exam,CP3,22,0,8
Monday,Exam,CP3,23,0,1
Tuesday,Exam,CP3,0,0,1
Tuesday,Exam,CP3,1,0,1
Tuesday,Exam,CP3,2,0,1
Tuesday,Exam,CP3,3,0,1
Tuesday,Exam,CP3,4,0,1
Tuesday,Exam,CP3,5,0,1
Tuesday,Exam,CP3,6,0,1
Tuesday,Exam,CP3,7,0,3
Tuesday,Exam,CP3,8,1,6
Tuesday,Exam,CP3,9,1,8
Tuesday,Exam,CP3,10,1,10
Tuesday,Exam,CP3,11,1,9
Tuesday,Exam,CP3,12,1,19
Tuesday,Exam,CP3,13,0,25
Tuesday,Exam,CP3,14,1,26
Tuesday,Exam,CP3,15,1,33
Tuesday,Exam,CP3,16,2,26
Tuesday,Exam,CP3,17,2,20
Tuesday,Exam,CP3,18,2,10
Tuesday,Exam,CP3,19,1,7
Tuesday,Exam,CP3,20,1,3
Tuesday,Exam,CP3,21,1,2
Tuesday,Exam,CP3,22,1,0
Tuesday,Exam,CP3,23,1,0
Wednesday,Exam,CP3,0,1,0
Wednesday,Exam,CP3,1,1,0
Wednesday,Exam,CP3,2,1,0
Wednesday,Exam,CP3,3,1,0
Wednesday,Exam,CP3,4,1,0
Wednesday,Exam,CP3,5,1,0
Wednesday,Exam,CP3,6,1,2
Wednesday,Exam,CP3,7,1,13
Wednesday,Exam,CP3,8,2,38
Wednesday,Exam,CP3,9,4,52
Wednesday,Exam,CP3,10,5,64
Wednesday,Exam,CP3,11,5,66
